
Color,-33,30,30,30,
Color,0,71,71,71,
Color,3,18,20,23,
Color,4,22,25,30,
Color,5,25,30,38,
Color,6,27,33,44,
Color,7,28,36,51,
Color,8,28,37,58,
Color,9,27,39,65,
Color,10,31,47,74,
Color,11,37,56,84,
Color,12,43,67,95,
Color,13,49,78,106,
Color,14,56,91,118,
Color,15,64,104,130,
Color,16,71,118,142,
Color,17,79,133,155,
Color,18,88,149,169,
Color,19,92,157,174,
Color,20,60,173,110,
Color,21,42,175,72,
Color,22,37,163,62,
Color,23,31,150,51,
Color,24,26,137,40,
Color,25,21,125,30,
Color,26,16,112,19,
Color,27,11,100,9,
Color,28,59,130,7,
Color,29,107,161,5,
Color,30,155,191,3,
Color,31,203,222,1,
Color,32,252,253,0,
Color,33,244,243,0,
Color,34,237,233,0,
Color,35,230,223,0,
Color,36,222,213,0,
Color,37,215,203,0,
Color,38,208,193,0,
Color,39,200,183,0,
Color,40,250,148,0,
Color,49,179,88,12,
Color,50,249,35,11,
Color,59,130,40,32,
Color,60,202,153,180,
Color,69,193,28,117,
Color,70,154,36,224,
Color,79,62,15,140,
Color,80,132,253,255,
Color,89,68,118,143,
Color,90,161,101,73,
Color,95,118,15,6
