NY, New York, 40.664274, -73.938500,8175133
CA, Los Angeles, 34.019394,-118.410825,3792621
IL, Chicago, 41.837551, -87.681844,2695598
TX, Houston, 29.780472, -95.386342,2099451
PA, Philadelphia, 40.009376, -75.133346,1526006
AZ, Phoenix, 33.572162,-112.087966,1445632
TX, San Antonio, 29.472403, -98.525142,1327407
CA, San Diego, 32.815300,-117.134993,1307402
TX, Dallas, 32.794176, -96.765503,1197816
CA, San Jose, 37.296867,-121.819306,945942
FL, Jacksonville, 30.337019, -81.661302,821784
IN, Indianapolis, 39.776664, -86.145935,820445
CA, San Francisco, 37.787239,-122.4581,805235
TX, Austin, 30.307182, -97.755996,790390
OH, Columbus, 39.984799, -82.985044,787033
TX, Fort Worth, 32.779542, -97.346335,741206
NC, Charlotte, 35.208707, -80.830739,731424
MI, Detroit, 42.383037, -83.102237,713777
TX, El Paso, 31.848360,-106.426979,649121
TN, Memphis, 35.103543, -89.978498,646889
MD, Baltimore, 39.300213, -76.610516,620961
MA, Boston, 42.331960, -71.020173,617594
WA, Seattle, 47.620499,-122.350876,608660
DC, Washington, 38.904149, -77.017094,601723
TN, Nashville, 36.171800, -86.785002,601222
CO, Denver, 39.761849,-104.880625,600158
KY, Louisville, 38.178077, -85.666708,597337
WI, Milwaukee, 43.063348, -87.966695,594833
OR, Portland, 45.536951,-122.649971,583776
NV, Las Vegas, 36.227712,-115.264045,583756
OK, Oklahoma City, 35.467079, -97.513657,579999
NM, Albuquerque, 35.105552,-106.647388,545852
AZ, Tucson, 32.154289,-110.871062,520116
CA, Fresno, 36.782674,-119.794492,494665
CA, Sacramento, 38.566592,-121.468632,466488
CA, Long Beach, 33.809102,-118.155327,462257
MO, Kansas City, 39.125212, -94.551136,459787
AZ, Mesa, 33.401926,-111.717379,439041
VA, Virginia Beach, 36.779322, -76.024020,437994
GA, Atlanta, 33.762909, -84.422675,420003
CO, Colorado Springs, 38.867255,-104.760749,416427
NE, Omaha, 41.264675, -96.041927,408958
NC, Raleigh, 35.830204, -78.641439,403892
FL, Miami, 25.775163, -80.208615,399457
OH, Cleveland, 41.478138, -81.679486,396815
OK, Tulsa, 36.127949, -95.902316,391906
CA, Oakland, 37.769857,-122.225640,390724
MN, Minneapolis, 44.963323, -93.268284,382578
KS, Wichita, 37.690694, -97.342678,382368
PR, San Juan, 18.406409, -66.064004,381931
TX, Arlington, 32.700708, -97.124691,365438
CA, Bakersfield, 35.321213,-119.018291,347483
LA, New Orleans, 30.068636, -89.939007,343829
HI, Honolulu, 21.325852,-157.845315,337256
CA, Anaheim, 33.855497,-117.760071,336265
FL, Tampa, 27.970086, -82.479673,335709
CO, Aurora, 39.688002,-104.689740,325078
CA, Santa Ana, 33.736478,-117.882593,324528
MO, St. Louis, 38.635699, -90.244582,319294
PA, Pittsburgh, 40.439753, -79.976592,305704
TX, Corpus Christi, 27.754252, -97.173385,305215
CA, Riverside, 33.938143,-117.393168,303871
OH, Cincinnati, 39.139902, -84.506446,296943
KY, Lexington, 38.040157, -84.458443,295803
AK, Anchorage, 61.177549,-149.274354,291826
CA, Stockton, 37.976342,-121.313304,291707
OH, Toledo, 41.664071, -83.581861,287208
MN, St. Paul, 44.948869, -93.103855,285068
NJ, Newark, 40.724220, -74.172574,277140
NC, Greensboro, 36.096483, -79.827108,269666
NY, Buffalo, 42.892492, -78.859686,261310
TX, Plano, 33.050769, -96.747944,259841
NE, Lincoln, 40.808957, -96.680354,258379
NV, Henderson, 36.012233,-115.037462,257729
IN, Fort Wayne, 41.088173, -85.143880,253691
NJ, Jersey City, 40.711417, -74.064760,247597
FL, St. Petersburg, 27.761976, -82.644055,244769
CA, Chula Vista, 32.627670,-117.015170,243916
VA, Norfolk, 36.923015, -76.244641,242803
FL, Orlando, 28.415886, -81.298750,238300
AZ, Chandler, 33.282874,-111.854943,236123
TX, Laredo, 27.547681, -99.486931,236091
WI, Madison, 43.087806, -89.430121,233209
NC, Winston-Salem, 36.103262, -80.260578,229617
TX, Lubbock, 33.566479,-101.886677,229573
LA, Baton Rouge, 30.448454, -91.125899,229493
NC, Durham, 35.980964, -78.905647,228330
TX, Garland, 32.909826, -96.630357,226876
AZ, Glendale, 33.533111,-112.189901,226721
NV, Reno, 39.474487,-119.776538,225221
FL, Hialeah, 25.869941, -80.302865,224669
NV, Paradise, 36.080689,-115.136839,223167
VA, Chesapeake, 36.679376, -76.301788,222209
AZ, Scottsdale, 33.668727,-111.823682,217385
NV, North Las Vegas, 36.282974,-115.089262,216961
TX, Irving, 32.857748, -96.970022,216290
CA, Fremont, 37.494373,-121.941117,214089
CA, Irvine, 33.678399,-117.771254,212375
AL, Birmingham, 33.527444, -86.799047,212237
NY, Rochester, 43.169927, -77.616891,210565
CA, San Bernardino, 34.139261,-117.295317,209924
WA, Spokane, 47.673554,-117.416595,208916
AZ, Gilbert, 33.310209,-111.742191,208453
VA, Arlington, 38.878337, -77.100703,207627
AL, Montgomery, 32.346251, -86.268593,205764
ID, Boise City, 43.598488,-116.231084,205671
VA, Richmond, 37.531399, -77.476009,204214
IA, Des Moines, 41.573946, -93.616708,203433
CA, Modesto, 37.660909,-120.989052,201165
NC, Fayetteville, 35.085110, -78.980263,200564
LA, Shreveport, 32.467020, -93.792684,199311
OH, Akron, 41.080456, -81.521429,199110
WA, Tacoma, 47.252199,-122.459832,198397
IL, Aurora, 41.763455, -88.290099,197899
CA, Oxnard, 34.202346,-119.204603,197899
CA, Fontana, 34.108793,-117.462685,196069
NY, Yonkers, 40.945862, -73.867446,195976
GA, Augusta, 33.365531, -82.073422,195844
AL, Mobile, 30.668426, -88.100226,195111
AR, Little Rock, 34.725432, -92.358556,193524
CA, Moreno Valley, 33.923253,-117.205685,193365
CA, Glendale, 34.181393,-118.245830,191719
TX, Amarillo, 35.197839,-101.828746,190695
CA, Huntington Beach, 33.690569,-118.009330,189992
GA, Columbus, 32.510197, -84.874946,189885
NV, Sunrise Manor, 36.178475,-115.048973,189372
MI, Grand Rapids, 42.961156, -85.655570,188040
UT, Salt Lake City, 40.778520,-111.931414,186440
PR, Bayamón, 18.380055, -66.163253,185996
FL, Tallahassee, 30.455109, -84.253419,181376
MA, Worcester, 42.269478, -71.807783,181045
VA, Newport News, 37.075978, -76.521719,180719
AL, Huntsville, 34.784271, -86.538996,180105
TN, Knoxville, 35.970875, -83.946479,178874
NV, Spring Valley, 36.098721,-115.261921,178395
RI, Providence, 41.823056, -71.418779,178042
CA, Santa Clarita, 34.404876,-118.504701,176320
TX, Grand Prairie, 32.684193, -97.020995,175396
TX, Brownsville, 26.018326, -97.453826,175023
MS, Jackson, 32.315831, -90.212823,173514
KS, Overland Park, 38.889042, -94.690584,173372
CA, Garden Grove, 33.778782,-117.960472,170883
CA, Santa Rosa, 38.446816,-122.706136,167815
TN, Chattanooga, 35.066463, -85.247065,167674
CA, Oceanside, 33.224572,-117.306227,167086
FL, Fort Lauderdale, 26.141305, -80.143896,165521
CA, Rancho Cucamonga, 34.123315,-117.564207,165269
FL, Port St. Lucie, 27.280951, -80.383762,164603
CA, Ontario, 34.039524,-117.608769,163924
WA, Vancouver, 45.637236,-122.596516,161791
AZ, Tempe, 33.388414,-111.931782,161719
MO, Springfield, 37.194152, -93.291305,159498
PR, Carolina, 18.412075, -65.979773,157832
CA, Lancaster, 34.693558,-118.175305,156633
OR, Eugene, 44.056748,-123.116207,156185
FL, Pembroke Pines, 26.021239, -80.340396,154750
OR, Salem, 44.923694,-123.023119,154637
FL, Cape Coral, 26.643119, -81.997331,154305
AZ, Peoria, 33.787708,-112.311100,154065
SD, Sioux Falls, 43.538335, -96.731998,153888
MA, Springfield, 42.115454, -72.539978,153060
CA, Elk Grove, 38.414423,-121.384937,153015
IL, Rockford, 42.263394, -89.062827,152871
CA, Palmdale, 34.591316,-118.109001,152750
CA, Corona, 33.862352,-117.563857,152374
CA, Salinas, 36.690182,-121.633714,150441
CA, Pomona, 34.058595,-117.761265,149058
TX, Pasadena, 29.658263, -95.150478,149043
IL, Joliet, 41.518066, -88.158354,147433
NJ, Paterson, 40.914746, -74.162825,146199
KS, Kansas City, 39.122539, -94.741781,145786
CA, Torrance, 33.834966,-118.341431,145438
NY, Syracuse, 43.040998, -76.143554,145170
CT, Bridgeport, 41.187386, -73.195734,144229
CA, Hayward, 37.628139,-122.106341,144186
CO, Fort Collins, 40.548216,-105.064833,143986
CA, Escondido, 33.133648,-117.073223,143911
CO, Lakewood, 39.698942,-105.117551,142980
IL, Naperville, 41.749173, -88.162019,141853
OH, Dayton, 39.777394, -84.199632,141527
FL, Hollywood, 26.031105, -80.164574,140768
CA, Sunnyvale, 37.385784,-122.026323,140081
VA, Alexandria, 38.818343, -77.082026,139966
TX, Mesquite, 32.763903, -96.592426,139824
LA, Metairie, 29.997793, -90.177864,138481
VA, Hampton, 37.048030, -76.297149,137436
CA, Pasadena, 34.160592,-118.139593,137122
CA, Orange, 33.804843,-117.824876,136416
GA, Savannah, 32.002512, -81.153557,136286
NC, Cary, 35.782122, -78.814079,135234
CA, Fullerton, 33.885714,-117.928025,135161
MI, Warren, 42.492904, -83.025001,134056
TN, Clarksville, 36.566430, -87.345216,132929
PR, Ponce, 17.987429, -66.609704,132502
TX, McKinney, 33.201241, -96.667979,131117
TX, McAllen, 26.218512, -98.246145,129877
CT, New Haven, 41.310809, -72.924953,129779
MI, Sterling Heights, 42.581206, -83.030316,129699
UT, West Valley City, 40.688493,-112.011759,129480
SC, Columbia, 34.029783, -80.896566,129272
TX, Killeen, 31.077669, -97.731952,127921
KS, Topeka, 39.036170, -95.694826,127473
CA, Thousand Oaks, 34.193290,-118.874235,126683
CA, East Los Angeles, 34.031506,-118.168567,126496
IA, Cedar Rapids, 41.967048, -91.677760,126326
KS, Olathe, 38.884279, -94.818848,125872
NJ, Elizabeth, 40.666261, -74.193530,124969
TX, Waco, 31.560111, -97.186027,124805
CT, Hartford, 41.766045, -72.683339,124775
CA, Visalia, 36.327154,-119.323409,124442
FL, Gainesville, 29.678831, -82.345878,124354
CA, Simi Valley, 34.266887,-118.748458,124237
CT, Stamford, 41.079857, -73.546028,122643
WA, Bellevue, 47.597839,-122.156489,122363
CA, Concord, 37.972179,-122.001584,122067
FL, Miramar, 25.976953, -80.335829,122041
FL, Coral Springs, 26.270783, -80.259291,121096
LA, Lafayette, 30.211573, -92.031394,120623
SC, Charleston, 32.817922, -79.958927,120083
TX, Carrollton, 32.988360, -96.899770,119097
CA, Roseville, 38.765743,-121.303159,118788
CO, Thornton, 39.918037,-104.945448,118772
